# phenotype data from Gatti et al. (2014) G3 4:1623-1633
# nrow 742
# ncol 3
id,WBC,NEUT
JAXW202.3251,4.26,611.31
JAXW202.3252,6.36,964.176
JAXW202.3254,3.98,265.864
JAXW202.3255,10.72,1208.144
JAXW202.3256,4.32,423.36
JAXW202.3257,5.82,573.27
JAXW202.3258,4.74,1060.812
JAXW202.3259,5.42,805.954
JAXW202.3260,7.9,1142.34
JAXW202.3261,8.82,799.092
JAXW202.3265,7.6,633.08
JAXW202.3266,6.28,829.588
JAXW202.3267,7.92,963.072
JAXW202.3269,6.3,697.41
JAXW202.3270,6.2,551.8
JAXW202.3271,2.08,338.832
JAXW202.3272,8.88,2096.568
JAXW202.3273,5.44,1126.624
JAXW202.3275,4.04,963.54
JAXW202.3277,7.74,1323.54
JAXW202.3278,5.56,1081.976
JAXW202.3280,4.02,194.97
JAXW202.3284,3.9,535.86
JAXW202.3285,3.84,564.48
JAXW202.3287,2.82,416.232
JAXW202.3288,5.4,824.04
JAXW202.3289,12.98,2915.308
JAXW202.3291,6.74,775.774
JAXW202.3292,3.92,604.464
JAXW202.3293,8.36,743.204
JAXW202.3294,4.04,294.92
JAXW202.3296,5.36,675.36
JAXW202.3297,4.5,865.8
JAXW202.3298,6.82,1034.594
JAXW202.3299,7.28,1121.848
JAXW202.3300,6.54,939.144
JAXW202.3301,2.54,1016.254
JAXW202.3302,4.54,1024.224
JAXW202.3304,2.82,533.262
JAXW202.3305,4.06,695.478
JAXW202.3308,4.56,656.64
JAXW202.3311,7.48,855.712
JAXW202.3312,6.16,1130.36
JAXW202.3313,5.12,496.128
JAXW202.3316,6.74,653.106
JAXW202.3317,4.52,642.292
JAXW202.3318,3.86,547.348
JAXW202.3320,5.5,483.45
JAXW202.3321,7.66,1097.678
JAXW202.3322,5.12,505.856
JAXW202.3323,2.8,483.84
JAXW202.3324,3,720.3
JAXW202.3325,2.88,631.008
JAXW202.3326,3.04,529.264
JAXW202.3327,5.04,428.4
JAXW202.3328,3.08,383.46
JAXW202.3329,4.04,705.384
JAXW202.3330,4.14,445.464
JAXW202.3331,3.9,386.49
JAXW202.3332,4.16,620.256
JAXW202.3333,5.54,857.592
JAXW202.3334,6.08,718.656
JAXW202.3335,6.06,1201.698
JAXW202.3336,4.78,634.306
JAXW202.3337,4.34,771.218
JAXW202.3338,4.1,613.77
JAXW202.3339,6.88,967.328
JAXW202.3340,5.46,992.628
JAXW202.3341,4.28,363.372
JAXW202.3342,3.02,791.542
JAXW202.3343,3.48,582.204
JAXW202.3345,5.94,745.47
JAXW202.3346,5.48,830.22
JAXW202.3347,2.96,459.688
JAXW202.3348,3.16,769.144
JAXW202.3349,4.1,421.48
JAXW202.3350,3.66,486.78
JAXW202.3351,2.14,263.006
JAXW202.3352,6.62,1134.006
JAXW202.3353,2.84,676.772
JAXW202.3354,3.06,709.92
JAXW202.3355,5.26,783.74
JAXW202.3356,5.64,1095.852
JAXW202.3357,6.26,896.432
JAXW202.3359,9.32,2139.872
JAXW202.3360,4.56,575.016
JAXW202.3361,3.28,831.48
JAXW202.3362,3.66,543.876
JAXW202.3363,5.4,502.74
JAXW202.3364,3.68,761.024
JAXW202.3365,2.22,547.896
JAXW202.3366,1.84,170.384
JAXW202.3367,4.86,639.576
JAXW202.3368,4.02,856.662
JAXW202.3369,3.7,772.93
JAXW202.3370,5.52,729.744
JAXW202.3371,5.86,663.938
JAXW202.3374,5.42,556.092
JAXW202.3375,3.7,488.4
JAXW202.3376,8.34,1110.054
JAXW202.3377,3.52,426.624
JAXW202.3378,3.86,672.412
JAXW202.3379,3.36,402.864
JAXW202.3380,6.08,544.16
JAXW202.3381,9.06,1384.368
JAXW202.3382,8.6,1116.28
JAXW202.3383,5.8,924.52
JAXW202.3384,4.74,626.154
JAXW202.3385,2.42,658.482
JAXW202.3386,4.4,647.24
JAXW202.3387,6.34,1127.886
JAXW202.3388,4.2,904.26
JAXW202.3389,7.72,941.068
