# Phenotypes for Maize MAGIC from Dell'Acqua et al (2015) doi:10.1186/s13059-015-0716-z
# nrow 529
# ncol 5
Line,PS,PH,EH,GYrad
33_30,76.6802,169.3547,89.1388,8.2337
33_33,78.38953,164.6451,99.8057,6.7815
33_34,73.6505,154.8627,85.2645,6.6076
33_43,74.633,201.5964,113.8433,8.6435
33_44,76.9839,193.8708,112.9755,9.2306
33_47,78.7731,217.024,110.1265,11.1829
33_5,74.7783,182.2818,86.0695,7.251
33_7,75.5172,182.2579,89.0507,5.8259
34_10,75.2527,186.2096,96.5477,6.9994
34_18,75.7266,164.1773,95.969,7.5415
34_22,74.4239,137.6692,74.3151,6.2583
34_23,77.0808,152.4677,88.4849,4.9254
34_26,81.119,173.8548,87.9126,8.0126
34_31,74.3845,118.1289,56.3339,3.9226
34_33,76.7482,167.4595,88.8433,7.609
34_36,76.5585,199.2579,91.0759,7.1047
34_39,71.6974,138.5321,80.7551,5.7421
34_4,76.2048,182.8708,103.818,8.1566
34_52,76.5368,142.7095,64.8245,7.3438
34_54,73.7643,208.8385,102.6482,6.4242
34_72,77.7133,201.5187,110.9396,7.5692
34_75,78.50008,150.0805,73.5665,6.2437
34_76,72.953,136.5187,67.5918,6.3114
35_13,78.7208,194.9192,97.7111,6.274
35_15,70.4122,127.4595,73.8809,6.3512
35_22,77.6564,173.3305,77.1388,5.5957
35_25,79.4687,176.3788,101.0759,8.7219
35_26,72.3708,167.7901,74.6735,5.23092
35_31,78.47561,109.8225,60.9126,4.1422
35_33,79.904,178.3145,85.6547,5.6743
35_35,74.8736,146.2847,72.4449,5.6652
35_41,81.1694,161.1129,95.7616,6.663
35_43,78.1718,159.2014,71.4091,5.4698
35_49,80.0845,192.024,94.969,5.0784
35_5,68.7134,153.4353,75.1829,7.2356
35_53,76.6567,188.1449,103.8809,4.8014
35_7,76.4421,164.6451,76.1893,5.856
35_8,75.982,143.0645,74.6735,6.8937
4_1,74.903,168.4514,68.9038,3.3771
4_11,82.3221,167.911,95.7363,5.0681
4_14,76.2398,121.1773,55.2081,7.5274
4_22,77.6979,145.3063,78.5413,6.9492
4_32,77.1402,159.5804,84.1135,6.0073
4_33,80.9554,189.8064,89.3967,5.4434
4_35,75.6482,170.9352,71.7616,4.0452
4_36,71.9031,156.6666,72.1118,4.3013
4_50,78.6425,128.8708,72.0571,4.2657
4_55,80.9513,118.1289,83.1641,3.4124
4_58,75.6257,209.2014,100.1576,3.9661
4_60,74.4402,167.5644,91.818,7.3382
4_61,76.3906,122.9032,70.4849,6.1562
4_67,75.0719,141.1129,69.7868,7.3832
4_68,75.1646,252.0805,133.1265,11.8831
5_11,79.4739,174.1933,106.5413,8.2503
5_12,77.6122,131.5163,52.7933,4.0196
5_13,82.6048,212.2177,108.422,4.878
5_14,76.0337,115.387,55.1829,6.9048
5_17,79.1914,156.1129,78.2898,7.0738
5_18,75.0968,132.8708,58.7804,5.21843
5_25,77.5239,163.5321,70.7487,5.3382
5_26,75.7095,173.6288,74.4091,7.4487
5_29,74.2386,179.8385,94.6294,8.7915
5_3,79.2924,228.1449,115.8368,4.2575
5_34,69.8198,143.7901,67.4408,6.4943
5_41,76.3844,149.2014,82.0759,9.0969
5_42,72.2687,141.5967,59.6735,5.3618
5_47,77.6786,157.1773,81.0759,4.9443
5_66,77.3521,186.7983,113.2898,9.1154
6_11,79.9184,153.3305,78.0319,3.2872
6_19,81.3047,155.6288,75.8116,4.6078
6_22,78.9307,182.6614,82.8938,5.595
6_24,77.903,106.82,58.0319,5.4298
6_31,77.5696,178.7741,96.2146,6.3951
6_33,78.6602,176.4514,84.9437,5.3808
6_35,78.6393,191.5804,125.7363,5.5763
6_36,76.1353,138.3547,54.9061,3.4129
6_4,79.0174,196.5967,106.0131,4.9944
6_50,80.3379,190.7901,109.8809,6.908
6_59,71.8717,166.177,90.5601,5.5801
6_66,79.3901,167.2338,62.6547,3.933
6_7,79.5615,196.3949,104.6735,8.0402
6_70,81.6579,167.5804,93.6041,4.9833
6_9,76.5054,192.6451,102.1829,5.5593
7_13,83.063,128.5082,82.9755,3.7959
7_17,82.2631,173.6934,118.2205,4.7271
7_20,73.0428,179.8868,96.0066,4.8185
7_3,79.037,112.4435,71.3151,6.2222
7_33,76.6215,143.7339,69.4913,3.8341
7_38,78.542,137.3386,80.1453,9.3268
7_47,75.0414,175.3063,91.6294,7.7916
7_50,73.2191,76.81,37.4155,3.3474
7_53,79.2886,180.1289,88.8433,5.6977
7_54,79.5812,241.7202,112.3967,5.9386
7_55,79.9279,211.7741,94.5853,9.7291
7_6,77.9749,162.8708,89.969,8.2325
7_65,73.5814,171.2096,87.9502,7.4646
7_69,78.611,218.1449,125.2581,9.3726
7_70,79.6064,225.2903,133.5477,6.915
8_11,74.5855,207.6692,124.3779,7.9791
8_2,79.9673,191.9192,113.0066,7.0145
8_37,73.4336,150.2661,78.1958,3.8032
8_38,80.0656,195.9675,108.5665,10.6163
8_43,79.5189,159.387,93.7804,9.0098
8_5,74.5109,133.8845,59.8791,6.1665
8_51,70.4082,219.8466,109.0383,8.9249
8_52,78.0754,141.3547,68.8368,5.9478
8_55,77.6879,122.9675,67.6482,5.6394
8_58,75.9379,178.7578,76.1324,4.5965
8_66,75.7926,161.1371,89.0507,6.2426
8_69,75.9316,172.024,98.7551,7.5978
8_73,69.6394,165.1612,73.4849,8.9539
8_75,79.9057,208.3707,115.969,8.3517
8_78,78.584,216.1129,90.6547,7.8159
9_10,73.7461,190.9515,90.919,9.998
9_21,77.2797,186.9838,84.0007,6.0886
9_23,79.7141,205.9515,89.8873,8.6653
9_24,73.7271,172.2579,74.6735,6.562
9_28,80.352,186.0966,103.7551,7.9094
9_52,69.8884,156.7741,82.3967,7.7216
9_53,74.6632,140.2661,81.8685,6.6772
9_54,76.991,201.7741,112.0571,5.0397
9_56,80.1751,228.4514,121.0131,7.0163
9_65,77.4878,196.1773,104.6735,4.8054
9_67,79.4627,169.8466,104.6735,2.7811
9_69,69.6471,236.6611,90.4155,8.2263
9_70,77.8782,187.9032,115.4661,8.9632
9_71,74.4431,150.7336,70.4408,5.3662
9_9,77.4316,167.6451,90.6547,4.2829
