id,UNC210000095,UNC210000599,UNC210001275,UNC210001366,UNC210001613
JAXW202-2450,2.401,0.068,0.02,2.882,1.405
JAXW202-2466,2.578,0.056,0.023,2.892,1.544
JAXW202-2474,2.431,0.061,0.019,2.982,1.494
JAXW202-2487,2.368,0.051,0.017,2.971,1.522
JAXW202-2495,2.383,0.332,0.145,3.055,1.827
JAXW202-2581,2.533,0.057,0.021,2.966,1.245
JAXW202-2743,2.925,0.064,0.036,3.253,1.428
JAXW202-2729,2.562,0.052,0.009,3.211,1.398
JAXW202-2401,2.522,0.332,0.152,2.835,1.86
JAXW202-2459,2.616,0.049,0.018,3.073,1.426
JAXW202-2467,2.644,0.06,0.022,2.946,1.438
JAXW202-2475,2.219,0.067,0.016,3.081,1.364
JAXW202-2496,2.471,0.322,0.14,2.887,1.778
JAXW202-2582,2.406,0.07,0.023,2.842,1.448
JAXW202-2744,2.383,0.07,0.014,2.851,1.424
JAXW202-2730,2.836,0.065,0.011,3.521,1.45
JAXW202-2402,2.492,0.333,0.168,3.018,1.529
JAXW202-2460,2.514,0.075,0.029,2.993,1.397
JAXW202-2468,2.481,0.067,0.013,3.146,1.523
JAXW202-2476,3.075,0.027,0.021,3.783,1.486
JAXW202-2497,2.515,0.327,0.165,2.999,1.952
JAXW202-2583,2.636,0.059,0.021,3.079,1.528
JAXW202-2745,2.56,0.071,0.029,3.086,1.408
JAXW202-2731,2.888,0.056,0.009,3.316,1.579
JAXW202-2403,2.556,0.318,0.166,2.979,1.504
JAXW202-2461,2.682,0.071,0.027,3.073,1.52
JAXW202-2469,2.556,0.065,0.013,3.149,1.56
JAXW202-2477,3.124,0.031,0.016,3.743,1.676
JAXW202-2490,2.293,0.056,0.024,3.006,1.529
JAXW202-2498,2.284,0.334,0.132,3.052,1.975
JAXW202-2506,2.615,0.335,0.166,3.104,1.918
JAXW202-2738,2.508,0.073,0.022,2.982,1.504
JAXW202-2746,2.619,0.048,0.017,3.202,1.498
JAXW202-2732,2.648,0.06,0.025,3.236,1.417
JAXW202-2404,2.598,0.319,0.164,3.1,1.89
